instruction,output
What is Intro to internet?,"The Internet is a global network of computers connected to each other which communicate through a standardized set of protocols. Context: https://cs.fyi/guide/how-does-internet-work, https://www.vox.com/2014/6/16/18076282/the-internet, https://web.stanford.edu/class/msande91si/www-spr04/readings/week1/InternetWhitepaper.htm, https://www.youtube.com/watch?v=x3c1ih2NJEg, https://www.youtube.com/watch?v=7_LPdttKXPc, https://www.youtube.com/watch?v=zN8YNNHcaZc"
What is Intro to HTTP?,"HTTP is the TCP/IP based application layer communication protocol which standardizes how the client and server communicate with each other. It defines how the content is requested and transmitted across the internet. Context: https://cs.fyi/guide/http-in-depth, https://www.cloudflare.com/en-gb/learning/ddos/glossary/hypertext-transfer-protocol-http/, https://developer.mozilla.org/en-US/docs/Web/HTTP/Overview, https://www.smashingmagazine.com/2021/08/http3-core-concepts-part1/, https://www.youtube.com/watch?v=j9QmMEWmcfo, https://www.youtube.com/watch?v=iYM2zFP3Zn0, https://www.youtube.com/watch?v=a-sBfyiXysI, https://www.youtube.com/watch?v=2JYT5f2isg4"
What is Intro to Domain Name?,"A domain name is a unique, easy-to-remember address used to access websites, such as ‘google.com’, and ‘facebook.com’. Users can connect to websites using domain names thanks to the DNS system. Context: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_domain_name, https://www.cloudflare.com/en-gb/learning/dns/glossary/what-is-a-domain-name/, https://www.youtube.com/watch?v=Y4cRx19nhJk"
What is Intro to Hosting?,"Web hosting is an online service that allows you to publish your website files onto the internet. So, anyone who has access to the internet has access to your website. Context: https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/Pages_sites_servers_and_search_engines, https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Web_mechanics/What_is_a_web_server, https://www.youtube.com/watch?v=htbY9-yggB0, https://www.youtube.com/watch?v=AXVZYzw8geg, https://www.youtube.com/watch?v=Kx_1NYYJS7Q"
What is Intro to DNS and How it works??,"The Domain Name System (DNS) is the phonebook of the Internet. Humans access information online through domain names, like nytimes.com or espn.com. Web browsers interact through Internet Protocol (IP) addresses. DNS translates domain names to IP addresses so browsers can load Internet resources. Context: https://www.cloudflare.com/en-gb/learning/dns/what-is-dns/, https://howdns.works/, https://developer.mozilla.org/en-US/docs/Glossary/DNS, https://www.youtube.com/watch?v=Wj0od2ag5sk, https://www.youtube.com/watch?v=7lxgpKh_fRY, https://www.youtube.com/watch?v=zEmUuNFBgN8&list=PLTk5ZYSbd9MhMmOiPhfRJNW7bhxHo4q-K, https://app.daily.dev/tags/dns?ref=roadmapsh"
What is Intro to Browsers and how they work?,"A web browser is a software application that enables a user to access and display web pages or other online content through its graphical user interface. Context: https://web.dev/articles/howbrowserswork, https://www.browserstack.com/guide/browser-rendering-engine, https://developer.mozilla.org/en-US/docs/Web/Performance/How_browsers_work, https://app.daily.dev/tags/browsers?ref=roadmapsh"
What is Learning a language?,"Even if you’re a beginner the least you would have known is that Web Development is majorly classified into two facets: Frontend Development and Backend Development. And obviously, they both have their respective set of tools and technologies. For instance, when we talk about Frontend Development, there always comes 3 names first and foremost – HTML, CSS, and JavaScript. In the same way, when it comes to Backend Web Development – we primarily require a backend (or you can say server-side) programming language to make the website function along with various other tools & technologies such as databases, frameworks, web servers, etc. Pick a language from the given list and make sure to learn its quirks, core details about its runtime e.g. concurrency, memory model etc. Context: https://www.google.com/search?q=learn%20a%20language%20guide%20for%20backend%20developer, https://www.youtube.com/results?search_query=learn+a+language+for+backend+developer"
What is JavaScript?,"JavaScript allows you to add interactivity to your pages. Common examples that you may have seen on the websites are sliders, click interactions, popups and so on. Context: https://javascript.info/, https://javascript30.com/, https://www.youtube.com/watch?v=hdI2bqOjy3c&t=2s, https://app.daily.dev/tags/javascript?ref=roadmapsh"
What is Go?,"Go is an open source programming language supported by Google. Go can be used to write cloud services, CLI tools, used for API development, and much more. Context: https://go.dev/tour/welcome/1, https://go.dev/doc/, https://gobyexample.com/, https://www.w3schools.com/go/, https://thenewstack.io/make-a-restful-json-api-go/, https://thenewstack.io/go-the-programming-language-of-the-cloud/, https://www.youtube.com/playlist?list=PLoILbKo9rG3skRCj37Kn5Zj803hhiuRK6, https://app.daily.dev/tags/golang?ref=roadmapsh"
What is Python?,"Python is a well known programming language which is both a strongly typed and a dynamically typed language. Being an interpreted language, code is executed as soon as it is written and the Python syntax allows for writing code in functional, procedural or object-oriented programmatic ways. Context: https://www.python.org/, https://www.python.org/about/gettingstarted/, https://automatetheboringstuff.com/, https://pythonprinciples.com/, https://www.w3schools.com/python/, https://ehmatthes.github.io/pcc/, https://thenewstack.io/an-introduction-to-python-for-non-programmers/, https://thenewstack.io/getting-started-with-python-and-influxdb/, https://app.daily.dev/tags/python?ref=roadmapsh, https://app.daily.dev/onboarding"
